Bee_ID,Species,Sex,Colony,Wing,Date_removed_from_fridge,Emerge_start_date,Treatment,No_pollen_spp,Pollen_comp,Dead,Death_date,Notes,Days_til_dead,Age
48,B. impatiens,F,9,0.27,NA,8/23/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 15 ul of feces, ignore the whiteout on the thorax, it was a callow",7,callow
49,B. impatiens,F,9,0.281,NA,8/23/21,1-B,1,Sumac,0,,"callow, 15 ul of feces ",7,callow
50,B. impatiens,F,9,0.213,NA,8/23/21,2-E,2,Dandelion + Hawthorn,0,,"callow, 15 ul of feces ",7,callow
51,B. impatiens,F,9,0.208,NA,8/23/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, 15 ul of feces (same colony but different inoculum batch than the callows)",7,adult
52,B. impatiens,F,9,0.253,NA,8/23/21,1-C,1,Hawthorn,0,,"non-callow, 15 ul of feces (same colony but different inoculum batch than the callows)",7,adult
53,B. impatiens,F,9,0.252,NA,8/23/21,2-F,2,Sumac + Hawthorn,1,8/25/21,"non-callow, 15 ul of feces (same colony but different inoculum batch than the callows)",2,adult
54,B. impatiens,F,37,0.265,NA,8/23/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 15 ul of feces, same inoc batch as 57",7,callow
55,B. impatiens,F,8,0.261,NA,8/23/21,1-A,1,Dandelion,0,,"callow, 15 ul of feces ",7,callow
56,B. impatiens,F,35,0.22,NA,8/23/21,2-D,2,Dandelion + Sumac,0,,"callow, 15 ul of feces, different inoc batch from 58",7,callow
57,B. impatiens,F,37,0.258,NA,8/23/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"callow, 15 ul of feces, same inoc batch at 54",7,callow
58,B. impatiens,F,35,0.236,NA,8/23/21,1-B,1,Sumac,0,,"callow, 15 ul of feces, different inoc batch from 56",7,callow
59,B. impatiens,F,37,0.262,NA,8/23/21,2-E,2,Dandelion + Hawthorn,0,,"callow, 15 ul of feces, different inoc batch from 54 and 57",7,callow
60,B. impatiens,F,8,0.267,NA,8/24/21,3-G,3,Dandelion + Sumac + Hawthorn,1,8/28/21,"non-callow, no feces inoculum",4,adult
61,B. impatiens,F,3,0.245,NA,8/24/21,1-C,1,Hawthorn,0,,"non-callow, no feces inoculum",7,adult
62,B. impatiens,F,8,0.238,NA,8/24/21,2-F,2,Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
63,B. impatiens,F,8,0.237,NA,8/24/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
64,B. impatiens,F,9,0.217,NA,8/24/21,1-A,1,Dandelion,0,,"non-callow, no feces inoculum",7,adult
65,B. impatiens,F,9,0.266,NA,8/24/21,2-D,2,Dandelion + Sumac,0,,"non-callow, no feces inoculum",7,adult
66,B. impatiens,F,9,0.273,NA,8/24/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
67,B. impatiens,F,8,0.243,NA,8/24/21,1-B,1,Sumac,1,8/31/21,"non-callow, no feces inoculum",7,adult
68,B. impatiens,F,3,0.273,NA,8/24/21,2-E,2,Dandelion + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
69,B. impatiens,F,3,0.23,NA,8/24/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
70,B. impatiens,F,37,0.246,NA,8/24/21,1-C,1,Hawthorn,0,,"non-callow, no feces inoculum",7,adult
71,B. impatiens,F,37,0.217,NA,8/24/21,2-F,2,Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
72,B. impatiens,F,37,0.263,NA,8/24/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
73,B. impatiens,F,3,0.224,NA,8/25/21,1-A,1,Dandelion,0,,"non-callow, no feces inoculum",7,adult
74,B. impatiens,F,3,0.241,NA,8/25/21,2-D,2,Dandelion + Sumac,0,,"non-callow, no feces inoculum",7,adult
75,B. impatiens,F,3,0.248,NA,8/25/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
76,B. impatiens,F,8,0.279,NA,8/25/21,1-B,1,Sumac,0,,"non-callow, no feces inoculum",7,adult
77,B. impatiens,F,8,0.242,NA,8/25/21,2-E,2,Dandelion + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
78,B. impatiens,F,8,0.226,NA,8/25/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
79,B. impatiens,F,9,0.256,NA,8/25/21,1-C,1,Hawthorn,0,,"non-callow, no feces inoculum",7,adult
80,B. impatiens,F,9,0.246,NA,8/25/21,2-F,2,Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
81,B. impatiens,F,9,0.226,NA,8/25/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
82,B. impatiens,F,37,0.256,NA,8/25/21,1-A,1,Dandelion,0,,"non-callow, no feces inoculum",7,adult
83,B. impatiens,F,37,0.276,NA,8/25/21,2-D,2,Dandelion + Sumac,0,,"non-callow, no feces inoculum",7,adult
84,B. impatiens,F,37,0.264,NA,8/25/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
85,B. impatiens,F,3,0.255,NA,8/26/21,1-B,1,Sumac,0,,"non-callow, no feces inoculum",7,adult
86,B. impatiens,F,3,0.235,NA,8/26/21,2-E,2,Dandelion + Hawthorn,1,27-Aug,"non-callow, no feces inoculum",1,adult
87,B. impatiens,F,3,0.238,NA,8/26/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
88,B. impatiens,F,8,0.247,NA,8/26/21,1-C,1,Hawthorn,0,,"non-callow, no feces inoculum",7,adult
89,B. impatiens,F,8,0.23,NA,8/26/21,2-F,2,Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
90,B. impatiens,F,8,0.232,NA,8/26/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,"non-callow, no feces inoculum",7,adult
91,M. rotundata,F,NA,0.141,,9/14/21,1-A,1,Dandelion,0,,,7,
92,M. rotundata,F,NA,0.142,,9/14/21,2-D,2,Dandelion + Sumac,0,,,7,
93,M. rotundata,F,NA,0.144,,9/14/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
94,M. rotundata,F,NA,0.141,,9/14/21,1-B,1,Sumac,0,,,7,
95,M. rotundata,F,NA,0.148,,9/14/21,2-E,2,Dandelion + Hawthorn,0,,,7,
96,M. rotundata,F,NA,0.158,,9/14/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
97,M. rotundata,F,NA,0.141,,9/14/21,1-C,1,Hawthorn,0,,,7,
98,M. rotundata,F,NA,0.121,,9/14/21,2-F,2,Sumac + Hawthorn,0,,,7,
99,M. rotundata,F,NA,0.127,,9/14/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
100,M. rotundata,F,NA,0.141,,9/14/21,1-A,1,Dandelion,0,,,7,
101,M. rotundata,F,NA,0.152,,9/14/21,2-D,2,Dandelion + Sumac,0,,,7,
102,M. rotundata,F,NA,0.141,,9/14/21,3-G,3,Dandelion + Sumac + Hawthorn,1,9/21/21,,7,
103,M. rotundata,F,NA,0.144,,9/15/21,1-B,1,Sumac,0,,,7,
104,M. rotundata,F,NA,0.141,,9/15/21,2-E,2,Dandelion + Hawthorn,0,,,7,
105,M. rotundata,F,NA,NA,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
106,M. rotundata,F,NA,0.143,,9/15/21,1-C,1,Hawthorn,0,,,7,
107,M. rotundata,F,NA,0.158,,9/15/21,2-F,2,Sumac + Hawthorn,0,,,7,
108,M. rotundata,F,NA,0.139,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
109,M. rotundata,F,NA,0.152,,9/15/21,1-A,1,Dandelion,0,,,7,
110,M. rotundata,F,NA,0.153,,9/15/21,2-D,2,Dandelion + Sumac,1,9/21/21,,6,
111,M. rotundata,F,NA,0.151,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
112,M. rotundata,F,NA,0.139,,9/15/21,1-B,1,Sumac,0,,,7,
113,M. rotundata,F,NA,0.149,,9/15/21,2-E,2,Dandelion + Hawthorn,0,,,7,
114,M. rotundata,F,NA,0.136,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
115,M. rotundata,F,NA,0.153,,9/15/21,1-C,1,Hawthorn,0,,,7,
116,M. rotundata,F,NA,0.148,,9/15/21,2-F,2,Sumac + Hawthorn,0,,,7,
117,M. rotundata,F,NA,0.144,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
118,M. rotundata,F,NA,0.149,,9/15/21,1-A,1,Dandelion,0,,,7,
119,M. rotundata,F,NA,0.142,,9/15/21,2-D,2,Dandelion + Sumac,0,,,7,
120,M. rotundata,F,NA,0.135,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
121,M. rotundata,F,NA,0.152,,9/15/21,1-B,1,Sumac,0,,,7,
122,M. rotundata,F,NA,0.136,,9/15/21,2-E,2,Dandelion + Hawthorn,1,9/22/21,,7,
123,M. rotundata,F,NA,0.139,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
124,M. rotundata,F,NA,0.143,,9/15/21,1-C,1,Hawthorn,0,,,7,
125,M. rotundata,F,NA,0.148,,9/15/21,2-F,2,Sumac + Hawthorn,0,,,7,
126,M. rotundata,F,NA,0.139,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
127,M. rotundata,F,NA,0.151,,9/15/21,1-A,1,Dandelion,0,,,7,
128,M. rotundata,F,NA,0.145,,9/15/21,2-D,2,Dandelion + Sumac,0,,,7,
129,M. rotundata,F,NA,0.145,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
130,M. rotundata,F,NA,0.149,,9/15/21,1-B,1,Sumac,0,,,7,
131,M. rotundata,F,NA,0.141,,9/15/21,2-E,2,Dandelion + Hawthorn,0,,,7,
132,M. rotundata,F,NA,0.158,,9/15/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
133,M. rotundata,F,NA,0.142,,9/15/21,1-C,1,Hawthorn,0,,,7,
134,M. rotundata,F,NA,0.146,,9/15/21,2-F,2,Sumac + Hawthorn,0,,,7,
135,M. rotundata,F,NA,0.152,,9/16/21,3-G,3,Dandelion + Sumac + Hawthorn,0,,,7,
136,M. rotundata,F,NA,0.148,,9/16/21,1-A,1,Dandelion,0,,,7,
