sample-id	Bee_ID	index	host	diet	plate	Species	Sex	Colony	Wing	Date_removed_from_fridge	Emerge_start_date	Treatment	No_pollen_spp	Pollen_comp	Dead	Death_date	Notes	Age	diet_initials
lab-p1-sample-28	28	lab.p1.sample.28	B. impatiens	Dandelion	1	B. impatiens	FALSE	37	0.236	NA	8/17/21	1-A	1	Dandelion	NA	NA	callow, 10 ul of feces	callow	D
lab-p1-sample-29	29	lab.p1.sample.29	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	37	0.233	NA	8/17/21	2-D	2	Dandelion + Sumac	NA	NA	callow, 10 ul of feces	callow	D + S
lab-p1-sample-30	30	lab.p1.sample.30	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	9	0.229	NA	8/17/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-31	31	lab.p1.sample.31	B. impatiens	Sumac	1	B. impatiens	FALSE	37	0.21	NA	8/17/21	1-B	1	Sumac	NA	NA	callow, 10 ul of feces	callow	S
lab-p1-sample-32	32	lab.p1.sample.32	B. impatiens	Dandelion + Hawthorn	1	B. impatiens	FALSE	9	0.214	NA	8/17/21	2-E	2	Dandelion + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + H
lab-p1-sample-33	33	lab.p1.sample.33	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	8	0.253	NA	8/17/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-34	34	lab.p1.sample.34	B. impatiens	Hawthorn	1	B. impatiens	FALSE	8	0.282	NA	8/17/21	1-C	1	Hawthorn	NA	NA	callow, 10 ul of feces	callow	H
lab-p1-sample-35	35	lab.p1.sample.35	B. impatiens	Sumac + Hawthorn	1	B. impatiens	FALSE	13	0.21	NA	8/17/21	2-F	2	Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	S + H
lab-p1-sample-36	36	lab.p1.sample.36	B. impatiens	Dandelion + Sumac + Hawthorn	1	B. impatiens	FALSE	3	0.217	NA	8/17/21	3-G	3	Dandelion + Sumac + Hawthorn	NA	NA	callow, 10 ul of feces	callow	D + S + H
lab-p1-sample-37	37	lab.p1.sample.37	B. impatiens	Dandelion	1	B. impatiens	FALSE	35	0.246	NA	8/17/21	1-A	1	Dandelion	NA	NA	callow, 10 ul of feces	callow	D
lab-p1-sample-38	38	lab.p1.sample.38	B. impatiens	Dandelion + Sumac	1	B. impatiens	FALSE	8	0.27	NA	8/17/21	2-D	2	Dandelion + Sumac	NA	NA	callow, 10 ul of feces	callow	D + S
